state,year,deaths,births
New South Wales,2021,56525,99300
New South Wales,2022,62980,95758
Victoria,2021,42486,76414
Victoria,2022,47978,76187
Queensland,2021,33858,64261
Queensland,2022,38160,62313
South Australia,2021,14494,19783
South Australia,2022,15455,19502
Western Australia,2021,15891,34065
Western Australia,2022,17299,31474
Tasmania,2021,4769,6027
Tasmania,2022,5142,5498
Northern Territory,2021,1211,3736
Northern Territory,2022,1338,3577
Australian Capital Territory,2021,2207,6410
Australian Capital Territory,2022,2563,6375
